"scientific_name","family","taxonrank","gbif_rec"
"Cryptotis squamipes (J.A.Allen, 1912)","Soricidae","SPECIES","4"
"Marmosa isthmica Goldman, 1912","Didelphidae","SPECIES","4"
"Mazama americana zetta Thomas, 1913","Cervidae","SUBSPECIES","4"
"Marmosops caucae Thomas, 1900","Didelphidae","SPECIES","4"
"Alouatta palliata (Gray, 1849)","Atelidae","SPECIES","4"
"Anoura cultrata Handley, 1960","Phyllostomidae","SPECIES","4"
"Anoura fistulata Muchhala, Mena & Albuja, 2005","Phyllostomidae","SPECIES","4"
"Thyroptera tricolor Spix, 1823","Thyropteridae","SPECIES","4"
"Neogale Gray, 1865","Mustelidae","GENUS","4"
"Eptesicus Rafinesque, 1820","Vespertilionidae","GENUS","4"
"Balantiopteryx infusca (Thomas, 1897)","Emballonuridae","SPECIES","4"
"Bassaricyon medius Thomas, 1909","Procyonidae","SPECIES","4"
"Artibeus obscurus (Schinz, 1821)","Phyllostomidae","SPECIES","3"
"Eumops auripendulus (Shaw, 1800)","Molossidae","SPECIES","3"
"Transandinomys talamancae (J.A.Allen, 1891)","Cricetidae","SPECIES","3"
"Nasua nasua candace Thomas, 1912","Procyonidae","SUBSPECIES","3"
"Lonchorhina aurita Tomes, 1863","Phyllostomidae","SPECIES","3"
"Sylvilagus brasiliensis fulvescens J.A.Allen, 1912","Leporidae","SUBSPECIES","3"
"Nasua narica (Linnaeus, 1766)","Procyonidae","SPECIES","3"
"Anoura latidens Handley, 1984","Phyllostomidae","SPECIES","3"
"Pseudalopex Burmeister, 1856","Canidae","GENUS","3"
"Vampyressa Thomas, 1900","Phyllostomidae","GENUS","3"
"Bassaricyon medius medius","Procyonidae","SUBSPECIES","3"
"Hydrochaeris hydrochaeris (Linnaeus, 1766)","Caviidae","SPECIES","3"
"Phyllostomus elongatus (E.Geoffroy, 1810)","Phyllostomidae","SPECIES","3"
"Echinoprocta rufescens Gray, 1865","Erethizontidae","SPECIES","3"
"Vampyriscus nymphaea (Thomas, 1909)","Phyllostomidae","SPECIES","3"
"BOLD:AAA0001","Hominidae","UNRANKED","3"
"Oryzomys Baird, 1857","Cricetidae","GENUS","3"
"Lasiurus Gray, 1831","Vespertilionidae","GENUS","3"
"Lonchophylla fornicata Woodman, 2007","Phyllostomidae","SPECIES","3"
"Microsciurus J.A.Allen, 1895","Sciuridae","GENUS","3"
"Sturnira bogotensis Shamel, 1927","Phyllostomidae","SPECIES","3"
"Centronycteris centralis Thomas, 1912","Emballonuridae","SPECIES","3"
"Zygodontomys brunneus Thomas, 1898","Cricetidae","SPECIES","3"
"Cryptotis Pomel, 1848","Soricidae","GENUS","3"
"Sciurus granatensis versicolor Thomas, 1900","Sciuridae","SUBSPECIES","3"
"Potos flavus megalotus (Martin, 1836)","Procyonidae","SUBSPECIES","3"
"Chilomys instans (Thomas, 1895)","Cricetidae","SPECIES","3"
"Microsciurus alfari (J.A.Allen, 1895)","Sciuridae","SPECIES","3"
"Artibeus glaucus Thomas, 1893","Phyllostomidae","SPECIES","3"
"Eptesicus chiriquinus Thomas, 1920","Vespertilionidae","SPECIES","3"
"Mammalia",NULL,"CLASS","2"
"Lophostoma occidentale (Davis & Carter, 1978)","Phyllostomidae","SPECIES","2"
"Molossus bondae J.A.Allen, 1904","Molossidae","SPECIES","2"
"Leopardus tigrinus pardinoides (Gray, 1867)","Felidae","SUBSPECIES","2"
"Glossophaga soricina soricina","Phyllostomidae","SUBSPECIES","2"
"Felis catus Linnaeus, 1758","Felidae","SPECIES","2"
"Noctilio leporinus (Linnaeus, 1758)","Noctilionidae","SPECIES","2"
"Notosciurus Allen, 1914","Sciuridae","GENUS","2"
"Platyrrhinus albericoi Velazco, 2005","Phyllostomidae","SPECIES","2"
"Dasypterus Peters, 1870","Vespertilionidae","GENUS","2"
"Dasyprocta Illiger, 1811","Dasyproctidae","GENUS","2"
"Cyclopes didactylus (Linnaeus, 1758)","Cyclopedidae","SPECIES","2"
"Promops centralis Thomas, 1915","Molossidae","SPECIES","2"
"Pteronotus personatus (Wagner, 1843)","Mormoopidae","SPECIES","2"
"Coendou Lacépède, 1799","Erethizontidae","GENUS","2"
"Choeroniscus Thomas, 1928","Phyllostomidae","GENUS","2"
"Choeroniscus minor (Peters, 1868)","Phyllostomidae","SPECIES","2"
"Rhipidomys latimanus (Tomes, 1860)","Cricetidae","SPECIES","2"
"Chiroderma Peters, 1860","Phyllostomidae","GENUS","2"
"Sciurus granatensis quindianus (J.A.Allen, 1914)","Sciuridae","SUBSPECIES","2"
"Bassaricyon gabbii J.A.Allen, 1876","Procyonidae","SPECIES","2"
