"scientific_name","family","taxonrank","gbif_rec"
"Gonatodes vittatus (Lichtenstein & Martens, 1856)","Sphaerodactylidae","SPECIES","1"
"Drymobius rhombifer (Günther, 1860)","Colubridae","SPECIES","1"
"Diploglossus monotropis (Kuhl, 1820)","Diploglossidae","SPECIES","1"
"Andinosaura laevis (Boulenger, 1908)","Gymnophthalmidae","SPECIES","1"
"Dendrophidion nuchale (Peters, 1863)","Colubridae","SPECIES","1"
"Dendrophidion Fitzinger, 1843","Colubridae","GENUS","1"
"Micrurus ancoralis jani Schmidt, 1936","Elapidae","SUBSPECIES","1"
"Micrurus clarki Schmidt, 1936","Elapidae","SPECIES","1"
"Micrurus corallinus (Merrem, 1820)","Elapidae","SPECIES","1"
"Alopoglossus lehmanni Ayala & Harris, 1984","Alopoglossidae","SPECIES","1"
"Micrurus dumerilii transandinus Schmidt, 1936","Elapidae","SUBSPECIES","1"
"Clelia clelia clelia","Colubridae","SUBSPECIES","1"
"Chironius fuscus (Linnaeus, 1758)","Colubridae","SPECIES","1"
"Echinosaura orcesi Fritts, Almendáriz & Samec, 2002","Gymnophthalmidae","SPECIES","1"
"Micrurus multifasciatus Jan, 1858","Elapidae","SPECIES","1"
"Tretanorhinus mocquardi Bocourt, 1891","Colubridae","SPECIES","1"
"Ameiva praesignis (Baird & Girard, 1852)","Teiidae","SPECIES","1"
"Enyalioides oshaughnessyi (Boulenger, 1881)","Hoplocercidae","SPECIES","1"
"Holcosus Cope, 1862","Teiidae","GENUS","1"
"Tantilla semicincta (Duméril, Bibron & Duméril, 1854)","Colubridae","SPECIES","1"
"Liophis epinephelus Cope, 1862","Colubridae","SPECIES","1"
"Thecadactylus Goldfuss, 1820","Phyllodactylidae","GENUS","1"
"Helicops danieli Amaral, 1938","Colubridae","SPECIES","1"
