"scientific_name","family","taxonrank","gbif_rec"
"Pholidostachys dactyloides H.E.Moore","Arecaceae","SPECIES","87"
"Brosimum utile subsp. occidentale C.C.Berg","Moraceae","SUBSPECIES","86"
"Cecropia Loefl.","Urticaceae","GENUS","85"
"Siparuna aspera (Ruiz & Pav.) A.DC.","Siparunaceae","SPECIES","85"
"Geonoma paradoxa Burret","Arecaceae","SPECIES","85"
"Cinchona pubescens Vahl","Rubiaceae","SPECIES","85"
"Palicourea andaluciana Standl.","Rubiaceae","SPECIES","84"
"Pernettya prostrata (Cav.) Sleumer","Ericaceae","SPECIES","84"
"Selaginella P.Beauv.","Selaginellaceae","GENUS","83"
"Laguncularia racemosa (L.) C.F.Gaertn.","Combretaceae","SPECIES","83"
"Ipomoea batatas (L.) Lam.","Convolvulaceae","SPECIES","83"
"Saurauia Willd.","Actinidiaceae","GENUS","83"
"Cyclanthaceae","Cyclanthaceae","FAMILY","83"
"Dendropanax Decne. & Planch.","Araliaceae","GENUS","83"
"Schefflera J.R.Forst. & G.Forst.","Araliaceae","GENUS","83"
"Lecythidaceae","Lecythidaceae","FAMILY","83"
"Osteophloeum platyspermum (A.DC.) Warb.","Myristicaceae","SPECIES","82"
"Philodendron hebetatum Croat","Araceae","SPECIES","82"
"Siparuna Aubl.","Siparunaceae","GENUS","82"
"Bactris setulosa H.Karst.","Arecaceae","SPECIES","81"
"Tecoma stans (L.) Juss. ex Kunth","Bignoniaceae","SPECIES","81"
"Couroupita guianensis Aubl.","Lecythidaceae","SPECIES","81"
"Passiflora L.","Passifloraceae","GENUS","81"
"Pholidostachys pulchra H.Wendl. ex Burret","Arecaceae","SPECIES","80"
"Bactris coloradonis L.H.Bailey","Arecaceae","SPECIES","80"
"Rivina humilis L.","Phytolaccaceae","SPECIES","80"
"Chrysobalanaceae","Chrysobalanaceae","FAMILY","80"
"Myrsine latifolia (Ruiz & Pav.) Spreng.","Primulaceae","SPECIES","80"
"Anaxagorea allenii R.E.Fr.","Annonaceae","SPECIES","80"
"Casearia sylvestris Sw.","Salicaceae","SPECIES","79"
"Ocotea macrophylla Kunth","Lauraceae","SPECIES","79"
"Zanthoxylum caribaeum Lam.","Rutaceae","SPECIES","79"
"Palicourea demissa Standl.","Rubiaceae","SPECIES","79"
"Iryanthera ulei Warb.","Myristicaceae","SPECIES","79"
"Stelis Sw.","Orchidaceae","GENUS","78"
"Anthurium guayaquilense Engl.","Araceae","SPECIES","78"
"Anthurium monticola var. attenuatum Croat & D.C.Bay","Araceae","VARIETY","78"
"Espeletia hartwegiana Sch.Bip.","Asteraceae","SPECIES","78"
"Weinmannia mariquitae Szyszyl.","Cunoniaceae","SPECIES","77"
"Laetia americana L.","Salicaceae","SPECIES","77"
"Gliricidia sepium (Jacq.) Kunth","Fabaceae","SPECIES","77"
"Attalea amygdalina Kunth","Arecaceae","SPECIES","77"
"Rhipsalis baccifera (J.S.Muell.) Stearn","Cactaceae","SPECIES","76"
"Alchornea Sw.","Euphorbiaceae","GENUS","76"
"Guzmania Ruiz & Pav.","Bromeliaceae","GENUS","76"
"Matisia Humb. & Bonpl.","Malvaceae","GENUS","76"
"Elaeagia asperula Standl. ex Steyerm.","Rubiaceae","SPECIES","75"
"Musa ×sapientum L.","Musaceae","SPECIES","74"
"Lantana camara L.","Verbenaceae","SPECIES","74"
"Samanea saman (Jacq.) Merr.","Fabaceae","SPECIES","74"
"Columnea dimidiata (Benth.) Kuntze","Gesneriaceae","SPECIES","74"
"Ceiba pentandra (L.) Gaertn.","Malvaceae","SPECIES","74"
"Guettarda crispiflora Vahl","Rubiaceae","SPECIES","74"
"Anthurium wattii Croat & D.C.Bay","Araceae","SPECIES","73"
"Bryophyta",NULL,"PHYLUM","72"
"Poulsenia armata (Miq.) Standl.","Moraceae","SPECIES","72"
"Monstera Adans.","Araceae","GENUS","72"
"Columnea rubriacuta (Wiehler) L.P.Kvist & L.E.Skog","Gesneriaceae","SPECIES","71"
"Erythrina fusca Lour.","Fabaceae","SPECIES","71"
"Trichilia havanensis Jacq.","Meliaceae","SPECIES","71"
"Centropogon C.Presl","Campanulaceae","GENUS","71"
"Nectandra purpurea (Ruiz & Pav.) Mez","Lauraceae","SPECIES","71"
"Monstera adansonii Schott","Araceae","SPECIES","71"
"Syzygium malaccense (L.) Merr. & L.M.Perry","Myrtaceae","SPECIES","70"
"Protium nervosum Cuatrec.","Burseraceae","SPECIES","70"
"Alchornea glandulosa Poepp.","Euphorbiaceae","SPECIES","70"
"Philodendron monsalveae Croat & D.C.Bay","Araceae","SPECIES","70"
"Lycoseris mexicana (L.fil.) Cass.","Asteraceae","SPECIES","69"
"Enterolobium cyclocarpum (Jacq.) Griseb.","Fabaceae","SPECIES","69"
"Oreopanax Decne. & Planch.","Araliaceae","GENUS","69"
"Philodendron scalarinerve Croat & Grayum","Araceae","SPECIES","69"
"Melicoccus bijugatus Jacq.","Sapindaceae","SPECIES","69"
"Clidemia D.Don","Melastomataceae","GENUS","68"
"Euphorbiaceae","Euphorbiaceae","FAMILY","68"
"Philodendron roseocataphyllum Croat & M.M.Mora","Araceae","SPECIES","68"
"Persea caerulea (Ruiz & Pav.) Mez","Lauraceae","SPECIES","68"
"Psammisia Klotzsch","Ericaceae","GENUS","67"
"Anthurium pulverulentum Sodiro","Araceae","SPECIES","67"
"Anthurium calimense Croat & D.C.Bay","Araceae","SPECIES","67"
"Anthurium oxyanthum Croat & D.C.Bay","Araceae","SPECIES","67"
"Zanthoxylum monophyllum (Lam.) P.Wilson","Rutaceae","SPECIES","66"
"Burseraceae","Burseraceae","FAMILY","66"
"Zanthoxylum L.","Rutaceae","GENUS","66"
"Thunbergia alata Bojer ex Sims","Acanthaceae","SPECIES","66"
"Phaseolus vulgaris L.","Fabaceae","SPECIES","66"
"Asplundia Harling","Cyclanthaceae","GENUS","66"
"Pitcairnia L'Hér.","Bromeliaceae","GENUS","66"
"Calamagrostis Adans.","Poaceae","GENUS","66"
"Cuphea racemosa (L.fil.) Spreng.","Lythraceae","SPECIES","65"
"Murraya paniculata (L.) Jacq.","Rutaceae","SPECIES","65"
"Tococa guianensis Aubl.","Melastomataceae","SPECIES","65"
"Asclepias curassavica L.","Apocynaceae","SPECIES","65"
"Trichostigma octandrum (L.) H.Walter","Phytolaccaceae","SPECIES","65"
"Brosimum utile (Kunth) Oken","Moraceae","SPECIES","65"
"Acalypha L.","Euphorbiaceae","GENUS","64"
"Sida rhombifolia L.","Malvaceae","SPECIES","64"
"Casearia Jacq.","Salicaceae","GENUS","64"
"Miconia acuminifera Triana","Melastomataceae","SPECIES","64"
"Banara guianensis Aubl.","Salicaceae","SPECIES","64"
"Anthurium fragrans Croat & D.C.Bay","Araceae","SPECIES","63"
"Faramea oblongifolia Standl.","Rubiaceae","SPECIES","63"
"Heliconia latispatha Benth.","Heliconiaceae","SPECIES","63"
"Mimosa pudica L.","Fabaceae","SPECIES","63"
"Xylosma intermedia (Seem.) Griseb.","Salicaceae","SPECIES","63"
"Urera caracasana (Jacq.) Gaudich. ex Griseb.","Urticaceae","SPECIES","63"
"Freziera canescens Bonpl.","Pentaphylacaceae","SPECIES","63"
"Trichilia hirta L.","Meliaceae","SPECIES","62"
"Oreopanax floribundus Decne. & Planch.","Araliaceae","SPECIES","62"
"Eleutheranthera tenella (Kunth) H.Rob.","Asteraceae","SPECIES","62"
"Hedyosmum cuatrecazanum Occhioni","Chloranthaceae","SPECIES","62"
"Guatteria goudotiana Triana & Planch.","Annonaceae","SPECIES","62"
"Otoba novogranatensis Moldenke","Myristicaceae","SPECIES","62"
"Tillandsia elongata Kunth","Bromeliaceae","SPECIES","61"
"Anthurium panduriforme Schott","Araceae","SPECIES","61"
"Heliconia spiralis Abalo & G.Morales","Heliconiaceae","SPECIES","61"
"Isertia pittieri (Standl.) Standl.","Rubiaceae","SPECIES","61"
"Marcgravia L.","Marcgraviaceae","GENUS","61"
"Ficus insipida Willd.","Moraceae","SPECIES","61"
"Clibadium F.Allam. ex L.","Asteraceae","GENUS","61"
"Eschweilera sclerophylla Cuatrec.","Lecythidaceae","SPECIES","60"
"Lycopodium jussiaei Desv. ex Poir.","Lycopodiaceae","SPECIES","60"
"Palicourea acetosoides Wernham","Rubiaceae","SPECIES","60"
"Anthurium vallense Croat","Araceae","SPECIES","60"
"Heliconia regalis L.Andersson","Heliconiaceae","SPECIES","59"
"Ficus obtusifolia Kunth","Moraceae","SPECIES","59"
"Chrysochlamys colombiana (Cuatrec.) Cuatrec.","Clusiaceae","SPECIES","59"
"Elaeis guineensis Jacq.","Arecaceae","SPECIES","59"
"Anthurium caucavallense Croat","Araceae","SPECIES","59"
"Muntingia calabura L.","Muntingiaceae","SPECIES","59"
"Casearia megacarpa Cuatrec.","Salicaceae","SPECIES","59"
"Glossoloma panamense (C.V.Morton) J.L.Clark","Gesneriaceae","SPECIES","59"
"Miconia theaezans (Bonpl.) Cogn.","Melastomataceae","SPECIES","59"
"Croton ferrugineus Kunth","Euphorbiaceae","SPECIES","59"
"Faramea Aubl.","Rubiaceae","GENUS","58"
"Heliocarpus americanus L.","Malvaceae","SPECIES","58"
"Chamaedorea linearis (Ruiz & Pav.) Mart.","Arecaceae","SPECIES","58"
"Faramea insignis Standl.","Rubiaceae","SPECIES","58"
"Philodendron dryanderae Croat & D.C.Bay","Araceae","SPECIES","57"
"Duranta erecta L.","Verbenaceae","SPECIES","57"
"Passiflora coriacea Juss.","Passifloraceae","SPECIES","57"
"Catalpa longissima (Jacq.) Dum.Cours.","Bignoniaceae","SPECIES","57"
"Orchidaceae","Orchidaceae","FAMILY","57"
"Iryanthera megistophylla A.C.Sm.","Myristicaceae","SPECIES","57"
"Annonaceae","Annonaceae","FAMILY","57"
"Sterculia L.","Malvaceae","GENUS","57"
"Tournefortia L.","Heliotropiaceae","GENUS","57"
"Philodendron verrucosum L.Mathieu ex Schott","Araceae","SPECIES","56"
"Aiouea montana (Sw.) R.Rohde","Lauraceae","SPECIES","56"
"Synechanthus warscewiczianus H.Wendl.","Arecaceae","SPECIES","56"
"Psidium guineense Sw.","Myrtaceae","SPECIES","56"
"Passiflora auriculata Kunth","Passifloraceae","SPECIES","56"
"Ficus tonduzii Standl.","Moraceae","SPECIES","56"
"Brunellia goudotii Tul.","Brunelliaceae","SPECIES","56"
"Ladenbergia macrocarpa (Vahl) Klotzsch","Rubiaceae","SPECIES","56"
"Solanum colombianum Dunal","Solanaceae","SPECIES","56"
"Annona quinduensis Kunth","Annonaceae","SPECIES","56"
"Philodendron polliciforme Croat & D.C.Bay","Araceae","SPECIES","56"
"Anthurium trilobum Lindl.","Araceae","SPECIES","55"
"Mabea klugii Steyerm.","Euphorbiaceae","SPECIES","55"
"Lacistema aggregatum Fawc. & Rendle","Lacistemataceae","SPECIES","55"
"Montanoa quadrangularis Sch.Bip.","Asteraceae","SPECIES","54"
"Aniba perutilis Hemsl.","Lauraceae","SPECIES","54"
"Erythrina poeppigiana (Walp.) O.F.Cook","Fabaceae","SPECIES","54"
"Mabea Aubl.","Euphorbiaceae","GENUS","54"
"Trigonobalanus excelsa Lozano, Hern.Cam. & Henao","Fagaceae","SPECIES","54"
"Vismia Vand.","Hypericaceae","GENUS","54"
"Zanthoxylum schreberi (J.F.Gmel.) Reynel","Rutaceae","SPECIES","54"
"Galium hypocarpium (L.) Endl. ex Griseb.","Rubiaceae","SPECIES","54"
"Costus L.","Costaceae","GENUS","53"
"Compsoneura trianae Warb.","Myristicaceae","SPECIES","53"
"Philodendron subhastatum K.Krause","Araceae","SPECIES","53"
"Heisteria acuminata (Bonpl.) Engl.","Erythropalaceae","SPECIES","53"
"Anthurium myosuroides (Kunth) Schott","Araceae","SPECIES","53"
"Cecropia virgusa Cuatrec.","Urticaceae","SPECIES","53"
"Nyctaginaceae","Nyctaginaceae","FAMILY","53"
"Quercus humboldtii Kotschy ex A.DC.","Fagaceae","SPECIES","53"
"Philodendron ninoanum Croat & D.C.Bay","Araceae","SPECIES","53"
"Columnea parviflora C.V.Morton","Gesneriaceae","SPECIES","52"
"Cyperaceae","Cyperaceae","FAMILY","52"
"Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.","Moraceae","SPECIES","52"
"Solanaceae","Solanaceae","FAMILY","52"
"Drymonia Mart.","Gesneriaceae","GENUS","52"
"Annona L.","Annonaceae","GENUS","52"
"Dussia lehmannii Harms","Fabaceae","SPECIES","52"
"Gaiadendron punctatum (Ruiz & Pav.) G.Don","Loranthaceae","SPECIES","51"
"Anthurium glaucospadix Croat","Araceae","SPECIES","51"
"Cecropia telealba Cuatrec.","Urticaceae","SPECIES","51"
"Aniba Aubl.","Lauraceae","GENUS","51"
"Philodendron canicaule Croat & D.C.Bay","Araceae","SPECIES","51"
"Oenocarpus minor Mart.","Arecaceae","SPECIES","51"
"Vochysia Aubl.","Vochysiaceae","GENUS","51"
"Malpighiaceae","Malpighiaceae","FAMILY","51"
"Euphorbia L.","Euphorbiaceae","GENUS","51"
"Weinmannia pubescens Kunth","Cunoniaceae","SPECIES","50"
"Amphidasya ambigua (Standl.) Standl.","Rubiaceae","SPECIES","50"
"Acacia farnesiana (L.) Willd.","Fabaceae","SPECIES","50"
"Sematophyllaceae","Sematophyllaceae","FAMILY","50"
"Paullinia dodgei Standl.","Sapindaceae","SPECIES","50"
"Psychotria cooperi Standl.","Rubiaceae","SPECIES","50"
"Saurauia cuatrecasana R.E.Schult.","Actinidiaceae","SPECIES","50"
"Pachira speciosa Triana & Planch.","Malvaceae","SPECIES","50"
"Anthurium rubrivellus Croat & D.C.Bay","Araceae","SPECIES","50"
"Psychotria poeppigiana Müll.Arg.","Rubiaceae","SPECIES","50"
"Pteridophyta",NULL,"PHYLUM","50"
"Acanthaceae","Acanthaceae","FAMILY","50"
"Otoba (A.DC.) H.Karst","Myristicaceae","GENUS","50"
"Cavendishia urophylla A.C.Sm.","Ericaceae","SPECIES","49"
"Miconia reducens Triana","Melastomataceae","SPECIES","49"
"Alchornea latifolia Sw.","Euphorbiaceae","SPECIES","49"
