"scientific_name","family","gbif_rec"
"Anthurium rubrivellus Croat & D.C.Bay","Araceae","50"
"Psychotria poeppigiana Müll.Arg.","Rubiaceae","50"
"Pteridophyta",NULL,"50"
"Acanthaceae","Acanthaceae","50"
"Otoba (A.DC.) H.Karst","Myristicaceae","50"
"Cavendishia urophylla A.C.Sm.","Ericaceae","49"
"Miconia reducens Triana","Melastomataceae","49"
"Alchornea latifolia Sw.","Euphorbiaceae","49"
"Faramea melicoccoides C.M.Taylor","Rubiaceae","49"
"Ricinus communis L.","Euphorbiaceae","49"
"Beilschmiedia Nees","Lauraceae","49"
"Nectandra lineata (Kunth) Rohwer","Lauraceae","49"
"Lycianthes (Dunal) Hassl.","Solanaceae","49"
"Sorocea pubivena subsp. oligotricha (Akkermans & C.C.Berg) C.C.Berg","Moraceae","49"
"Clethra revoluta (Ruiz & Pav.) Spreng.","Clethraceae","49"
"Meliaceae","Meliaceae","49"
"Miconia resima Naudin","Melastomataceae","49"
"Ossaea DC.","Melastomataceae","48"
"Carica papaya L.","Caricaceae","48"
"Compsoneura atopa (A.C.Sm.) A.C.Sm.","Myristicaceae","48"
"Centrosema pubescens Benth.","Fabaceae","48"
"Anthopterus wardii Ball","Ericaceae","48"
"Baccharis trinervis (Lam.) Pers.","Asteraceae","48"
"Hedyosmum Sw.","Chloranthaceae","48"
"Stenospermation andreanum Engl.","Araceae","48"
"Maxillaria Ruiz & Pav.","Orchidaceae","48"
"Myrsine L.","Primulaceae","48"
"Beilschmiedia tovarensis (Meisn.) Sach.Nishida","Lauraceae","48"
"Parthenium hysterophorus L.","Asteraceae","48"
"Sida acuta Burm.fil.","Malvaceae","47"
"Inga marginata Willd.","Fabaceae","47"
"Inga densiflora Benth.","Fabaceae","47"
"Inga ornata Kunth","Fabaceae","47"
"Sterculia apetala (Jacq.) H.Karst.","Malvaceae","47"
"Anthurium scandens (Aubl.) Engl.","Araceae","47"
"Anthurium sanguineum Engl.","Araceae","47"
"Renealmia L.f.","Zingiberaceae","47"
"Macleania smithiana Luteyn","Ericaceae","47"
"Cavendishia adenophora Mansf.","Ericaceae","47"
"Trichilia P.Browne","Meliaceae","47"
"Miconia notabilis Triana","Melastomataceae","47"
"Heliconia terciopela W.J.Kress & Betancur","Heliconiaceae","47"
"Rhodospatha monsalveae Croat & D.C.Bay","Araceae","47"
"Philodendron suberosum Croat & D.C.Bay","Araceae","47"
"Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.","Primulaceae","47"
"Anthurium jesusii Croat","Araceae","47"
"Anthurium subcarinatum Engl.","Araceae","46"
"Andira inermis (W.Wright) DC.","Fabaceae","46"
"Elaeis oleifera (Kunth) Cortés","Arecaceae","46"
"Erythroxylum ulei O.E.Schulz","Erythroxylaceae","46"
"Piper amalago L.","Piperaceae","46"
"Magnolia hernandezii (Lozano) Govaerts","Magnoliaceae","46"
"Protium amplum Cuatrec.","Burseraceae","46"
"Helicostylis tovarensis (Klotzsch & H.Karst.) C.C.Berg","Moraceae","46"
"Anthurium buganum Engl.","Araceae","46"
"Xanthosoma sanintiae Croat & Delannay","Araceae","46"
"Caesalpinia pulcherrima (L.) Sw.","Fabaceae","46"
"Bidens pilosa L.","Asteraceae","46"
"Stylosanthes guianensis (Aubl.) Sw.","Fabaceae","46"
"Senna siamea (Lam.) H.S.Irwin & Barneby","Fabaceae","46"
"Jacaranda hesperia Dugand","Bignoniaceae","46"
"Zanthoxylum gentryi Reynel","Rutaceae","45"
"Chiococca P.Browne","Rubiaceae","45"
"Aiphanes simplex Burret","Arecaceae","45"
"Virola Aubl.","Myristicaceae","45"
"Columnea picta H.Karst.","Gesneriaceae","45"
"Ficus benjamina L.","Moraceae","45"
"Heliconia combinata Abalo & G.Morales","Heliconiaceae","45"
"Cyathea nigripes (C.Presl) Domin","Cyatheaceae","45"
"Paullinia L.","Sapindaceae","45"
"Hippotis albiflora H.Karst.","Rubiaceae","45"
"Drymonia teuscheri (Raymond) J.L.Clark","Gesneriaceae","45"
"Clibadium surinamense L.","Asteraceae","45"
"Dioscorea Plum. ex L.","Dioscoreaceae","45"
"Tillandsia juncea (Ruiz & Pav.) Poir.","Bromeliaceae","45"
"Tococa spadiciflora Triana","Melastomataceae","45"
