"scientific_name","family","taxonrank","gbif_rec"
"Phyllobates aurotaenia (Boulenger, 1913)","Dendrobatidae","SPECIES","12"
"Leptodactylus rhodomerus Heyer, 2005","Leptodactylidae","SPECIES","12"
"Lithobates Fitzinger, 1843","Ranidae","GENUS","12"
"Pristimantis esmeraldas (Guayasamin, 2004)","Craugastoridae","SPECIES","11"
"Andinobates fulguritus (Silverstone, 1975)","Dendrobatidae","SPECIES","11"
"Rhinella margaritifera (Laurenti, 1768)","Bufonidae","SPECIES","11"
"Rhinella macrorhina (Trueb, 1971)","Bufonidae","SPECIES","11"
"Epicrionops bicolor Boulenger, 1883","Rhinatrematidae","SPECIES","10"
"Eleutherodactylus quantus Lynch, 1998","Craugastoridae","SPECIES","10"
"BOLD:ACH6066","Craugastoridae","UNRANKED","10"
"Leptodactylus Fitzinger, 1826","Leptodactylidae","GENUS","10"
"Eleutherodactylus sanguineus Lynch, 1998","Craugastoridae","SPECIES","10"
"Eleutherodactylus restrepoi Lynch, 1996","Craugastoridae","SPECIES","10"
"Pristimantis caprifer (Lynch, 1977)","Craugastoridae","SPECIES","10"
"Centrolene robledoi Ruiz-Carranza & Lynch, 1995","Centrolenidae","SPECIES","10"
"Boana pugnax (Schmidt, 1857)","Hylidae","SPECIES","10"
"Pristimantis silverstonei (Lynch & Ruiz-Carranza, 1996)","Craugastoridae","SPECIES","10"
"Leptodactylus wagneri (Peters, 1862)","Leptodactylidae","SPECIES","10"
"Hyalinobatrachium colymbiphyllum (Taylor, 1949)","Centrolenidae","SPECIES","9"
"Diasporus Hedges, Duellman & Heinicke, 2008","Eleutherodactylidae","GENUS","9"
"Dendrobates Wagler, 1830","Dendrobatidae","GENUS","9"
"Rulyrana orejuela (Duellman & Burrowes, 1989)","Centrolenidae","SPECIES","9"
"Eleutherodactylus phalarus Lynch, 1998","Craugastoridae","SPECIES","9"
"Cochranella Taylor, 1951","Centrolenidae","GENUS","9"
"Leptodactylus melanonotus (Hallowell, 1861)","Leptodactylidae","SPECIES","9"
"Boana boans (Linnaeus, 1758)","Hylidae","SPECIES","9"
"Hypsiboas rubracylus (Cochran & Goin, 1970)","Hylidae","SPECIES","8"
"Osornophryne bufoniformis (Peracca, 1904)","Bufonidae","SPECIES","8"
"Hypsiboas boans (Linnaeus, 1758)","Hylidae","SPECIES","8"
"BOLD:AAT9612","Craugastoridae","UNRANKED","8"
"Pristimantis cabrerai (Cochran & Goin, 1970)","Craugastoridae","SPECIES","8"
"Scinax ruber (Laurenti, 1768)","Hylidae","SPECIES","8"
"Pristimantis kelephas (Lynch, 1998)","Craugastoridae","SPECIES","8"
"Typhlonectes natans (Fischer, 1880)","Typhlonectidae","SPECIES","8"
"Anomaloglossus atopoglossus (Grant, Humphrey & Myers, 1997)","Dendrobatidae","SPECIES","8"
"Hypsiboas pugnax (Schmidt, 1857)","Hylidae","SPECIES","8"
"Ranitomeya bombetes (Myers & Daly, 1980)","Dendrobatidae","SPECIES","8"
"Rhaebo hypomelas (Boulenger, 1913)","Bufonidae","SPECIES","8"
"Pristimantis deinops (Lynch, 1996)","Craugastoridae","SPECIES","8"
"Caecilia subdermalis Taylor, 1968","Caeciliidae","SPECIES","7"
"Dendrobates tinctorius (Cuvier, 1797)","Dendrobatidae","SPECIES","7"
"Anomaloglossus lacrimosus (Myers, 1991)","Dendrobatidae","SPECIES","7"
"Gastrotheca argenteovirens (Boettger, 1892)","Hemiphractidae","SPECIES","7"
"Pristimantis jubatus (García & Lynch, 2006)","Craugastoridae","SPECIES","7"
"Centrolene Jiménez de la Espada, 1872","Centrolenidae","GENUS","7"
"Hyla colymba Dunn, 1931","Hylidae","SPECIES","7"
"Leptodactylus pentadactylus (Laurenti, 1768)","Leptodactylidae","SPECIES","7"
"Pristimantis ridens (Cope, 1866)","Craugastoridae","SPECIES","6"
"Hyla Laurenti, 1768","Hylidae","GENUS","6"
"Eleutherodactylus xylochobates Lynch & Ruiz-Carranza, 1996","Craugastoridae","SPECIES","6"
"Espadarana callistomma (Guayasamin & Trueb, 2007)","Centrolenidae","SPECIES","6"
"Hypsiboas crepitans (Wied-Neuwied, 1824)","Hylidae","SPECIES","6"
"Rhinella humboldti (Gallardo, 1965)","Bufonidae","SPECIES","6"
"Nymphargus armatus (Lynch & Ruiz-Carranza, 1996)","Centrolenidae","SPECIES","6"
"Dendropsophus Fitzinger, 1843","Hylidae","GENUS","6"
"Andinobates Twomey, Brown, Amézquita & Mejía-Vargas, 2011","Dendrobatidae","GENUS","6"
"Bufo Garsault, 1764","Bufonidae","GENUS","6"
"Teratohyla spinosa (Taylor, 1949)","Centrolenidae","SPECIES","6"
"Eleutherodactylus supernatis Lynch, 1979","Craugastoridae","SPECIES","6"
"BOLD:ACH6067","Craugastoridae","UNRANKED","6"
"Hypodactylus babax (Lynch, 1989)","Craugastoridae","SPECIES","5"
"Rhinella paraguas Grant & Bolívar-Garcías, 2014","Bufonidae","SPECIES","5"
"Andinobates viridis (Myers & Daly, 1976)","Dendrobatidae","SPECIES","5"
"Bolitoglossa vallecula Brame & Wake, 1963","Plethodontidae","SPECIES","5"
"Scinax elaeochroa (Cope, 1875)","Hylidae","SPECIES","5"
"Pristimantis platychilus (Lynch, 1996)","Craugastoridae","SPECIES","5"
"Centrolene prosoblepon (Boettger, 1892)","Centrolenidae","SPECIES","5"
"Colostethus lehmanni Silverstone, 1971","Dendrobatidae","SPECIES","5"
"Oophaga anchicayensis Posso-Terranova & Andrés, 2018","Dendrobatidae","SPECIES","5"
"Hyla larinopygion Duellman, 1973","Hylidae","SPECIES","4"
"Hypsiboas Wagler, 1830","Hylidae","GENUS","4"
"Leptodactylus fuscus (Schneider, 1799)","Leptodactylidae","SPECIES","4"
"Hyla variabilis Boulenger, 1896","Hylidae","SPECIES","4"
"Bufo marinus (Linnaeus, 1758)","Bufonidae","SPECIES","4"
"Agalychnis psilopygion (Cannatella, 1980)","Phyllomedusidae","SPECIES","4"
"Pristimantis diaphonus (Lynch, 1986)","Craugastoridae","SPECIES","4"
"Dendropsophus mathiassoni (Cochran & Goin, 1970)","Hylidae","SPECIES","4"
"Colostethus latinasus (Cope, 1863)","Dendrobatidae","SPECIES","4"
"BOLD:ACI1145","Craugastoridae","UNRANKED","3"
"Atelopus Duméril & Bibron, 1841","Bufonidae","GENUS","3"
"Atelopus pictiventris Kattan, 1986","Bufonidae","SPECIES","3"
"BOLD:ACH5184","Craugastoridae","UNRANKED","3"
"BOLD:ACI1144","Craugastoridae","UNRANKED","3"
"BOLD:ACI1828","Craugastoridae","UNRANKED","3"
"Bolitoglossa silverstonei Brame & Wake, 1972","Plethodontidae","SPECIES","3"
"Bolitoglossa sima (Vaillant, 1911)","Plethodontidae","SPECIES","3"
"Caecilia subnigricans Dunn, 1942","Caeciliidae","SPECIES","3"
"Caecilia tentaculata Linnaeus, 1758","Caeciliidae","SPECIES","3"
"Cochranella savagei Ruiz-Carranza & Lynch, 1991","Centrolenidae","SPECIES","3"
"Cruziohyla calcarifer (Boulenger, 1902)","Phyllomedusidae","SPECIES","3"
"Dendropsophus microcephalus (Cope, 1886)","Hylidae","SPECIES","3"
"Eleutherodactylus chrysops Lynch & Ruiz-Carranza, 1996","Craugastoridae","SPECIES","3"
"Eleutherodactylus molybrignus Lynch, 1986","Craugastoridae","SPECIES","3"
"Incilius coniferus (Cope, 1862)","Bufonidae","SPECIES","3"
"Leptodactylidae","Leptodactylidae","FAMILY","3"
"Leptodactylus ventrimaculatus Boulenger, 1902","Leptodactylidae","SPECIES","3"
"Nymphargus Cisneros-Heredia & McDiarmid, 2007","Centrolenidae","GENUS","3"
"Phyllobates bicolor Duméril & Bibron, 1841","Dendrobatidae","SPECIES","3"
"Pristimantis gaigei (Dunn, 1931)","Craugastoridae","SPECIES","3"
"Pristimantis roseus (Boulenger, 1918)","Craugastoridae","SPECIES","3"
"Rhaebo andinophrynoides Mueses-Cisneros, 2009","Bufonidae","SPECIES","3"
"Scinax sugillatus (Duellman, 1973)","Hylidae","SPECIES","3"
"Strabomantis anatipes (Lynch & Myers, 1983)","Craugastoridae","SPECIES","3"
"Strabomantis Peters, 1863","Craugastoridae","GENUS","3"
"BOLD:ACI1831","Craugastoridae","UNRANKED","2"
"Pristimantis xylochobates (Lynch & Ruiz-Carranza, 1996)","Craugastoridae","SPECIES","2"
"Rhinella sternosignata (Günther, 1858)","Bufonidae","SPECIES","2"
"Colostethus inguinalis (Cope, 1868)","Dendrobatidae","SPECIES","2"
"Eleutherodactylus babax Lynch, 1989","Craugastoridae","SPECIES","2"
"Pristimantis quantus (Lynch, 1998)","Craugastoridae","SPECIES","2"
"Pristimantis phalarus (Lynch, 1998)","Craugastoridae","SPECIES","2"
"Ranitomeya viridis (Myers & Daly, 1976)","Dendrobatidae","SPECIES","2"
"Atelopus chocoensis Lötters, 1992","Bufonidae","SPECIES","2"
"Caecilia nigricans Boulenger, 1902","Caeciliidae","SPECIES","2"
"BOLD:AAV6488","Craugastoridae","UNRANKED","2"
"Pristimantis taeniatus (Boulenger, 1912)","Craugastoridae","SPECIES","2"
"Caecilia leucocephala Taylor, 1968","Caeciliidae","SPECIES","2"
"Atelopus famelicus Rivero & Morales, 1995","Bufonidae","SPECIES","2"
"Colostethus talamancae (Cope, 1875)","Aromobatidae","SPECIES","2"
"Caecilia perdita Taylor, 1968","Caeciliidae","SPECIES","2"
"Boana lanciformis (Cope, 1871)","Hylidae","SPECIES","2"
"Boana Gray, 1825","Hylidae","GENUS","2"
"Atelopus longibrachius Rivero, 1963","Bufonidae","SPECIES","2"
"Colostethus mertensi (Cochran & Goin, 1964)","Dendrobatidae","SPECIES","2"
"Pristimantis actites (Lynch, 1979)","Craugastoridae","SPECIES","2"
"BOLD:ACI2595","Craugastoridae","UNRANKED","2"
"BOLD:ACI2594","Craugastoridae","UNRANKED","2"
"Eleutherodactylus bufoniformis (Boulenger, 1896)","Craugastoridae","SPECIES","2"
"Nymphargus pijao Montilla, Arcila-Pérez, Toro-Gómez, Vargas-Salinas & Rada, 2023","Centrolenidae","SPECIES","2"
"Pristimantis capitonis (Lynch, 1998)","Craugastoridae","SPECIES","2"
